Counter	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
141	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_250.fits	1	2.44	4	2	6.259456983925302	4.200683878149309	0.6098999315115802	-1.6023666223458244	4.702751536001627	0.224346340609171	0.03673502595823589	5.1041	0.4641688013850239
142	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_255.fits	1	2.49	4	2	3.2286032153583473	24.726349296057965	0.5665776755908392	-1.5365102289447876	3.4200790202325186	0.2983449767258922	0.02552133243232639	3.669	0.5465197768538196
143	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_257.fits	1	2.51	4	2	2.4746364323314745	42.626531916612116	0.5867692651017541	-1.5178335779985899	3.7681395806426785	0.3482899414519425	0.028341247697768846	5.7807	0.6671819854343942
144	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_262.fits	1	2.56	4	1	0	0	0.6135454044631291	-1.9073382456365373	4.252325360593631	0.16473333858706538	-0.03228509508973239	3.3667	0.7867681267454937
145	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_265.fits	1	2.59	4	1	0	0	0.6043435226697474	-2.309605900316058	4.262984716859097	0.17771573580585945	-0.0034175142544930976	5.0149	0.2686374703674385
146	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_270.fits	1	2.64	4	1	0	0	0.6164741089890723	-2.034519929056589	4.54016764691708	0.1909789966154295	-0.0008383690383889776	6.2508	0.48223280539633034
147	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_275.fits	1	2.69	4	1	0	0	0.6398449344200793	-2.170324652199811	4.73402038496771	0.11066427591840086	-0.015557567195682338	5.3268	0.5975797786897385
148	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_280.fits	1	2.74	4	1	0	0	0.6255484928079142	-2.3301338732599324	4.438023547067446	0.14456828176344583	-0.0056120565486123845	5.1537	0.4770796135732537
149	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_285.fits	1	2.79	4	1	0	0	0.6130635600161033	-2.328789396727363	4.431538221370012	0.08907355375682671	-0.0025517493027344997	5.3169	0.21681778697774765
150	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_287.fits	1	2.84	4	1	0	0	0.6319399679212715	-2.3650520621969653	4.424713536604415	0.081438162166355	0.0015785307671128412	4.8033	0.40129774284737607
151	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_288.fits	1	2.93	4	1	0	0	0.6139229085338936	-2.315131250284888	4.281220287183908	0.04567572397666864	-0.005775164660993908	4.419	0.19901389696598498
152	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_289.fits	1	3.03	4	1	0	0	0.6275429130823336	-2.4435341775322246	4.446439258089982	0.03897440017976754	-0.004977204762051767	4.35	0.31665867071518056
153	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_290.fits	1	3.13	4	1	0	0	0.6199131660731011	-2.353280427540499	4.409452320155411	0.02113281762221891	-0.00665825475608591	4.1876	0.11394352408413543
